Project,Client,Title,Duration
SOS1920-11,,#1 Hacer el L02.01,00:10:48
SOS1920-11,,#1 Introducir Profesores Toogle,00:03:24
SOS1920-11,,#10 Issue para Feedback,00:02:28
SOS1920-11,,#11 reviewing what my colleagues have done,00:14:03
SOS1920-11,,#12 Desplegar API en Heroku,00:38:57
SOS1920-11,,#13 Desarrollar API REST,04:34:38
SOS1920-11,,#14 Pruebas Postman,03:48:58
SOS1920-11,,#15 Crear Conjunto Test,01:34:30
SOS1920-11,,#16 Crear documentación,00:23:05
SOS1920-11,,#17 Desarrollar API REST,02:45:47
SOS1920-11,,#18 API crime-rates,02:09:19
SOS1920-11,,#19 Crear los recursos iniciales,00:07:10
SOS1920-11,,#2 Configurar indiviualmente las cuentas de toogl,03:05:46
SOS1920-11,,#20 Crear pruebas con Postam,00:17:09
SOS1920-11,,#21 Test de las pruebas en postman,00:14:30
SOS1920-11,,#22 Sincronizar la colección creada en postman con heroku,00:15:03
SOS1920-11,,"#26 Implementar búsquedas, paginación y un sistema de persistenia basado en nedb",01:51:33
SOS1920-11,,#27 Extender la colección de Postman,01:01:17
SOS1920-11,,#28 Heroku actualizado,00:17:01
SOS1920-11,,#3 Clonar este repo a un contenedor Goorm,01:32:19
SOS1920-11,,#35 Enlace al front end,00:47:12
SOS1920-11,,#36 Modelar pruebas automáticas,00:18:22
SOS1920-11,,#37 Hacer video explicatorio de D03_A,00:59:53
SOS1920-11,,#39 conjunto de visualizaciones de los recursos de su API,09:37:10
SOS1920-11,,"#4 Crear servidor, TAREA 13",02:20:33
SOS1920-11,,#40 conjunto de integraciones,11:10:45
SOS1920-11,,#41 visualizacion integrada,09:11:55
SOS1920-11,,#43 Integrar gráficos para crime-rate-stats,02:23:15
SOS1920-11,,#45 Integrar más APIs,05:28:35
SOS1920-11,,#47 CORS,00:46:07
SOS1920-11,,#5 Completar Readme SOS1920,00:28:16
SOS1920-11,,#6 Install Postman,00:17:23
SOS1920-11,,#7 Put 5 data examples,00:33:18
SOS1920-11,,#8 Develop Express Server,07:32:24
SOS1920-11,,#9 Missing index.html,00:16:09
SOS1920-11,,First timing,03:49:06
